mesure,contexte,sql,valeur_sql
Volume d'affaires,"annee=2025, type_bien=Maison, commune=Montpellier",SUM(valeur_fonciere),1.88221e+08
Prix m² médian,"annee=2025, type_bien=Maison, commune=Montpellier",MEDIAN(prix_m2),3809.13
Prix m² moyen,"annee=2025, type_bien=Maison, commune=Montpellier",AVG(prix_m2),4061.75
Prix m² 1er quartile,"annee=2025, type_bien=Maison, commune=Montpellier","QUANTILE_CONT(prix_m2, 0.25)",3232.1
Prix m² 3e quartile,"annee=2025, type_bien=Maison, commune=Montpellier","QUANTILE_CONT(prix_m2, 0.75)",4757.29
Valeur médiane,"annee=2025, type_bien=Maison, commune=Montpellier",MEDIAN(valeur_fonciere),359600
Surface médiane,"annee=2025, type_bien=Maison, commune=Montpellier",MEDIAN(surface_bati),97
Évolution prix m² %,"annee=2025, type_bien=Maison, commune=Montpellier",MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,-0.0549017
Évolution volume %,"annee=2025, type_bien=Maison, commune=Montpellier",COUNT(*) / COUNT(*) (N-1) - 1,0.14899
Évolution depuis 2021 %,"annee=2025, type_bien=Maison, commune=Montpellier",MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.0386472
Part des maisons %,"annee=2025, type_bien=Maison, commune=Montpellier","AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.102686
Prix m² médian publiable,"annee=2025, type_bien=Maison, commune=Montpellier",CASE WHEN COUNT(*) >= 30 THEN MEDIAN(prix_m2) END,3809.13
Écart à l'Hérault %,"annee=2025, type_bien=Maison, commune=Montpellier",MEDIAN(prix_m2 commune) / MEDIAN(prix_m2 département) - 1,0.246245
Rang prix commune,"annee=2025, type_bien=Maison, commune=Montpellier","DENSE_RANK() OVER (ORDER BY prix_m2_median DESC), communes publiables",23
Nb ventes,"annee=2025, type_bien=Appartement, commune=Béziers",COUNT(*),765
Volume d'affaires,"annee=2025, type_bien=Appartement, commune=Béziers",SUM(valeur_fonciere),8.44263e+07
Prix m² médian,"annee=2025, type_bien=Appartement, commune=Béziers",MEDIAN(prix_m2),1833.33
Prix m² moyen,"annee=2025, type_bien=Appartement, commune=Béziers",AVG(prix_m2),1939.75
Prix m² 1er quartile,"annee=2025, type_bien=Appartement, commune=Béziers","QUANTILE_CONT(prix_m2, 0.25)",1445.67
Prix m² 3e quartile,"annee=2025, type_bien=Appartement, commune=Béziers","QUANTILE_CONT(prix_m2, 0.75)",2250
Valeur médiane,"annee=2025, type_bien=Appartement, commune=Béziers",MEDIAN(valeur_fonciere),100000
Surface médiane,"annee=2025, type_bien=Appartement, commune=Béziers",MEDIAN(surface_bati),55
Évolution prix m² %,"annee=2025, type_bien=Appartement, commune=Béziers",MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,0.0377358
Évolution volume %,"annee=2025, type_bien=Appartement, commune=Béziers",COUNT(*) / COUNT(*) (N-1) - 1,0.150376
Évolution depuis 2021 %,"annee=2025, type_bien=Appartement, commune=Béziers",MEDIAN(prix_m2) / MEDIAN(prix_m2) (2021) - 1,0.200055
Part des maisons %,"annee=2025, type_bien=Appartement, commune=Béziers","AVG(CASE WHEN type_bien = 'Maison' THEN 1.0 ELSE 0.0 END), filtre type retiré",0.393339
Prix m² médian publiable,"annee=2025, type_bien=Appartement, commune=Béziers",CASE WHEN COUNT(*) >= 30 THEN MEDIAN(prix_m2) END,1833.33
Écart à l'Hérault %,"annee=2025, type_bien=Appartement, commune=Béziers",MEDIAN(prix_m2 commune) / MEDIAN(prix_m2 département) - 1,-0.473684
Rang prix commune,"annee=2025, type_bien=Appartement, commune=Béziers","DENSE_RANK() OVER (ORDER BY prix_m2_median DESC), communes publiables",25
Nb ventes,"annee=2025, type_bien=Maison, commune=Béziers",COUNT(*),496
Volume d'affaires,"annee=2025, type_bien=Maison, commune=Béziers",SUM(valeur_fonciere),1.13812e+08
Prix m² médian,"annee=2025, type_bien=Maison, commune=Béziers",MEDIAN(prix_m2),2267.43
Prix m² moyen,"annee=2025, type_bien=Maison, commune=Béziers",AVG(prix_m2),2332.71
Prix m² 1er quartile,"annee=2025, type_bien=Maison, commune=Béziers","QUANTILE_CONT(prix_m2, 0.25)",1867.46
Prix m² 3e quartile,"annee=2025, type_bien=Maison, commune=Béziers","QUANTILE_CONT(prix_m2, 0.75)",2699.59
Valeur médiane,"annee=2025, type_bien=Maison, commune=Béziers",MEDIAN(valeur_fonciere),196928
Surface médiane,"annee=2025, type_bien=Maison, commune=Béziers",MEDIAN(surface_bati),90.5
Évolution prix m² %,"annee=2025, type_bien=Maison, commune=Béziers",MEDIAN(prix_m2) / MEDIAN(prix_m2) (N-1) - 1,0.00210416
