mesure,contexte,valeur_dax,valeur_sql,ecart_absolu,ecart_relatif,identique
Prix m² moyen,"annee=2025, type_bien=Appartement, commune=Sète",3716.20241516,3716.20241516,5.00222085975e-12,1.34605715753e-15,True
Prix m² médian,"annee=2025, type_bien=Appartement, commune=Sète",3497.45762712,3497.45762712,-4.09272615798e-12,-1.17020035532e-15,True
Prix m² médian publiable,"annee=2025, type_bien=Appartement, commune=Sète",3497.45762712,3497.45762712,-4.09272615798e-12,-1.17020035532e-15,True
Rang prix commune,"annee=2025, type_bien=Appartement, commune=Sète",15,15,0,0,True
Surface médiane,"annee=2025, type_bien=Appartement, commune=Sète",48,48,0,0,True
Valeur médiane,"annee=2025, type_bien=Appartement, commune=Sète",154600,154600,0,0,True
Volume d'affaires,"annee=2025, type_bien=Appartement, commune=Sète",164705671.21,164705671.21,2.98023223877e-08,1.80942903597e-16,True
Écart à l'Hérault %,"annee=2025, type_bien=Appartement, commune=Sète",0.00405482118239,0.00405482118239,0,0,True
Évolution depuis 2021 %,"annee=2025, type_bien=Appartement, commune=Sète",0.207010337896,0.207010337896,3.88578058619e-16,1.87709494399e-15,True
Évolution prix m² %,"annee=2025, type_bien=Appartement, commune=Sète",0.0249124430977,0.0249124430977,1.97758476261e-16,7.93814061052e-15,True
Nb ventes,"annee=2025, type_bien=Maison",8496,8496,0,0,True
Part des maisons %,"annee=2025, type_bien=Maison",0.436744975068,0.436744975068,2.22044604925e-16,5.08407921328e-16,True
Prix m² 1er quartile,"annee=2025, type_bien=Maison",2194.30272109,2194.30272109,5.00222085975e-12,2.27964027555e-15,True
Prix m² 3e quartile,"annee=2025, type_bien=Maison",3965.97222222,3965.97222222,-2.72848410532e-12,-6.87973579348e-16,True
Prix m² moyen,"annee=2025, type_bien=Maison",3195.92857878,3195.92857878,-5.91171556152e-12,-1.84976460387e-15,True
Prix m² médian,"annee=2025, type_bien=Maison",3056.48494937,3056.48494937,-4.54747350886e-12,-1.48781151689e-15,True
Surface médiane,"annee=2025, type_bien=Maison",91,91,0,0,True
Valeur médiane,"annee=2025, type_bien=Maison",273170,273170,0,0,True
Volume d'affaires,"annee=2025, type_bien=Maison",2585196764.49,2585196764.49,0,0,True
Évolution depuis 2021 %,"annee=2025, type_bien=Maison",0.0750202159227,0.0750202159227,9.71445146547e-17,1.29491115774e-15,True
Évolution prix m² %,"annee=2025, type_bien=Maison",0.00866853914174,0.00866853914174,0,0,True
Évolution volume %,"annee=2025, type_bien=Maison",0.123958195529,0.123958195529,9.71445146547e-17,7.8368771214e-16,True
Nb ventes,"annee=2025, type_bien=Maison, commune=Béziers",496,496,0,0,True
Part des maisons %,"annee=2025, type_bien=Maison, commune=Béziers",0.393338620143,0.393338620143,2.22044604925e-16,5.64512594376e-16,True
Prix m² 1er quartile,"annee=2025, type_bien=Maison, commune=Béziers",1867.46390779,1867.46390779,4.09272615798e-12,2.1915958541e-15,True
Prix m² 3e quartile,"annee=2025, type_bien=Maison, commune=Béziers",2699.59077381,2699.59077381,-3.63797880709e-12,-1.3476038081e-15,True
