type_bien,communes,tirages,annee_debut,annee_fin,rho_couple_prix_debut,rho_prix_fin,rho_split_sample_median,ic95_bas,ic95_haut,part_tirages_negatifs
Appartement,22,200,2021,2025,-0.652174,-0.421796,-0.612648,-0.711095,-0.468069,1
Maison,82,200,2021,2025,-0.316748,-0.0787871,-0.245676,-0.383729,-0.125555,1
