code_commune,nom_commune,code_postal_principal,ville_suivie
34015,Assignan,34360,false
34030,Berlou,34360,false
34037,Boujan-sur-Libron,34760,false
34044,Cabrerolles,34480,false
34058,Castries,34160,false
34105,Fouzilhon,34480,false
34107,Fraisse-sur-Agout,34330,false
34171,Montoulieu,34190,false
34174,Moulès-et-Baucels,34190,false
34176,Mudaison,34130,false
34180,Nébian,34800,false
34187,Olargues,34390,false
34234,Roquessels,34320,false
34254,Saint-Félix-de-Lodez,34725,false
34268,Saint-Jean-de-la-Blaquière,34700,false
34317,La Vacquerie-et-Saint-Martin-de-Castries,34520,false
34333,Vic-la-Gardiole,34110,false
34340,Villetelle,34400,false
34006,Aigne,34210,false
34009,Alignan-du-Vent,34290,false
34024,Balaruc-le-Vieux,34540,false
34033,Boisseron,34160,false
34034,Boisset,34220,false
34051,Canet,34800,false
34054,Cassagnoles,34210,false
34093,Dio-et-Valquières,34650,false
34099,Ferrières-les-Verreries,34190,false
34177,Murles,34980,false
34184,Nizas,34320,false
34186,Octon,34800,false
34189,Olonzac,34210,false
34191,Pailhès,34490,false
34202,Pignan,34570,false
34228,Rieussec,34220,false
34235,Rosis,34610,false
34242,Saint-Bauzille-de-Montmel,34160,false
34250,Saint-Étienne-d'Albagnan,34390,false
34283,Saint-Pierre-de-la-Fage,34520,false
34286,Saint-Privat,34700,false
34296,Saussines,34160,false
34312,La Tour-sur-Orb,34260,false
34327,Vendargues,34740,false
34343,Viols-le-Fort,34380,false
34011,Arboras,34150,false
34013,Aspiran,34800,false
34061,Causses-et-Veyran,34490,false
34066,Cazevieille,34270,false
34081,Colombiers,34440,false
34094,Espondeilhan,34290,false
34096,Faugères,34600,false
34103,Fontès,34320,false
34120,Jacou,34830,false
34122,Jonquières,34725,false
34150,Marseillan,34340,false
34168,Montesquieu,34320,false
34169,Montferrier-sur-Lez,34980,false
34196,Pégairolles-de-l'Escalette,34700,false
34208,Popian,34230,false
34222,Puilacher,34230,false
34246,Entre-Vignes,34400,false
34251,Saint-Étienne-de-Gourgas,34700,false
34284,Saint-Pons-de-Thomières,34220,false
34291,Saint-Vincent-d'Olargues,34390,false
34294,Saturargues,34400,false
34308,Taussac-la-Billière,34600,false
34323,Valmascle,34800,false
34332,Vias,34450,false
34012,Argelliers,34380,false
34017,Aumes,34530,false
34063,Caux,34720,false
34067,Cazilhac,34190,false
34068,Cazouls-d'Hérault,34120,false
34072,Celles,34700,false
34076,Ceyras,34800,false
34080,Colombières-sur-Orb,34390,false
34110,Galargues,34160,false
34125,Lagamas,34150,false
34129,Lattes,34970,false
34136,Lézignan-la-Cèbe,34120,false
34149,Margon,34320,false
34155,Maureilhan,34370,false
34166,Montblanc,34290,false
34216,Le Pradal,34600,false
34219,Prémian,34390,false
34231,Romiguières,34650,false
34262,Saint-Guiraud,34725,false
34272,Saint-Just,34400,false
34276,Saint-Mathieu-de-Tréviers,34270,false
34299,Sérignan,34410,false
34301,Sète,34200,true
34324,Valras-Plage,34350,false
34331,Verreries-de-Moussans,34220,false
34001,Abeilhan,34290,false
34010,Aniane,34150,false
34020,Azillanet,34210,false
34038,Le Bousquet-d'Orb,34260,false
34042,Brissac,34190,false
34048,Campagne,34160,false
34049,Camplong,34260,false
34071,Ceilhes-et-Rocozels,34260,false
34091,Le Cros,34520,false
34124,Lacoste,34800,false
34132,Lauroux,34700,false
34145,Lunel,34400,false
34162,Montagnac,34530,false
34194,Paulhan,34230,false
34199,Pézenas,34120,false
34206,Poilhes,34310,false
34227,Restinclières,34160,false
34238,Saint-André-de-Buèges,34190,false
34267,Saint-Jean-de-Fos,34150,false
34273,Saint-Martin-de-l'Arçon,34390,false
34279,Saint-Nazaire-de-Ladarez,34490,false
34302,Siran,34210,false
34313,Tressan,34230,false
34315,Usclas-d'Hérault,34230,false
34329,Vendres,34350,false
34008,Les Aires,34600,false
34025,Bassan,34290,false
34045,Cabrières,34800,false
34046,Cambon-et-Salvergues,34330,false
34085,Coulobres,34290,false
34086,Courniou,34220,false
34111,Ganges,34190,false
34128,Laroque,34190,false
