code_commune,nom_commune,type_bien,nb_ventes_periode,nb_ventes_debut,prix_m2_median_debut,nb_ventes_fin,prix_m2_median_fin,evolution_prix_m2
34196,Pégairolles-de-l'Escalette,Maison,14,2,,1,,
34216,Le Pradal,Maison,14,1,,3,,
34273,Saint-Martin-de-l'Arçon,Maison,14,4,,6,,
34004,Agel,Maison,13,2,,2,,
34098,Ferrals-les-Montagnes,Maison,13,2,,4,,
34115,Gorniès,Maison,13,3,,3,,
34316,Usclas-du-Bosc,Maison,13,3,,4,,
34043,Buzignargues,Maison,12,5,,4,,
34319,Vailhan,Maison,12,,,3,,
34269,Saint-Jean-de-Minervois,Maison,12,2,,4,,
34342,Viols-en-Laval,Maison,12,2,,3,,
34046,Cambon-et-Salvergues,Maison,12,2,,1,,
34062,Caussiniojouls,Maison,12,1,,3,,
34297,Sauteyrargues,Maison,12,5,,2,,
34261,Saint-Guilhem-le-Désert,Maison,12,5,,,,
34283,Saint-Pierre-de-la-Fage,Maison,11,4,,2,,
34030,Berlou,Maison,11,3,,2,,
34168,Montesquieu,Maison,11,,,4,,
34212,Poujols,Maison,11,1,,2,,
34257,Saint-Geniès-de-Varensal,Maison,10,1,,3,,
34132,Lauroux,Maison,10,2,,,,
34230,Les Rives,Maison,10,2,,,,
34093,Dio-et-Valquières,Maison,10,1,,1,,
34137,Liausson,Maison,10,2,,2,,
34233,Roqueredonde,Maison,9,2,,,,
34048,Campagne,Maison,8,1,,4,,
34220,Le Puech,Maison,8,2,,2,,
34104,Fos,Maison,8,2,,1,,
34125,Lagamas,Maison,8,3,,2,,
34100,Ferrières-Poussarou,Maison,8,3,,1,,
34011,Arboras,Maison,7,2,,,,
34053,Carlencas-et-Levas,Maison,7,4,,2,,
34005,Agonès,Maison,7,,,1,,
34066,Cazevieille,Maison,7,1,,,,
34195,Pégairolles-de-Buèges,Maison,7,,,2,,
34303,Sorbs,Maison,7,,,3,,
34306,Soumont,Maison,7,2,,2,,
34034,Boisset,Maison,7,1,,2,,
34158,Minerve,Maison,6,3,,,,
34106,Fozières,Maison,6,1,,2,,
34175,Mourèze,Maison,6,,,1,,
34228,Rieussec,Maison,6,1,,2,,
34326,Vélieux,Maison,5,,,2,,
34264,Saint-Jean-de-Buèges,Maison,5,,,,,
34278,Saint-Michel,Maison,5,2,,,,
34040,Brenas,Maison,4,,,1,,
34112,Garrigues,Maison,3,1,,,,
34091,Le Cros,Maison,2,,,,,
34099,Ferrières-les-Verreries,Maison,2,1,,,,
34323,Valmascle,Maison,2,1,,,,
34236,Rouet,Maison,2,,,,,
34238,Saint-André-de-Buèges,Maison,2,1,,,,
34231,Romiguières,Maison,2,,,,,
34156,Mérifons,Maison,2,1,,1,,
34054,Cassagnoles,Maison,2,,,1,,
34133,Lavalette,Maison,1,1,,,,
34171,Montoulieu,Maison,1,,,1,,
