code_commune,nom_commune,type_bien,nb_ventes_periode,nb_ventes_debut,prix_m2_median_debut,nb_ventes_fin,prix_m2_median_fin,evolution_prix_m2
34052,Capestang,Appartement,9,3,,,,
34207,Pomérols,Appartement,9,1,,3,,
34224,Puissalicon,Appartement,9,1,,1,,
34073,Cers,Appartement,9,1,,5,,
34341,Villeveyrac,Appartement,8,2,,2,,
34179,Murviel-lès-Montpellier,Appartement,8,1,,2,,
34009,Alignan-du-Vent,Appartement,8,2,,1,,
34310,Thézan-lès-Béziers,Appartement,8,,,1,,
34311,Tourbes,Appartement,8,2,,1,,
34178,Murviel-lès-Béziers,Appartement,8,1,,2,,
34272,Saint-Just,Appartement,8,4,,,,
34295,Saussan,Appartement,7,1,,,,
34182,Nézignan-l'Évêque,Appartement,7,,,3,,
34256,Saint-Geniès-des-Mourgues,Appartement,7,1,,1,,
34067,Cazilhac,Appartement,7,,,3,,
34147,Magalas,Appartement,7,2,,1,,
34063,Caux,Appartement,7,1,,,,
34013,Aspiran,Appartement,6,1,,1,,
34161,Montady,Appartement,6,2,,,,
34076,Ceyras,Appartement,6,1,,3,,
34189,Olonzac,Appartement,6,,,,,
34294,Saturargues,Appartement,5,2,,,,
34333,Vic-la-Gardiole,Appartement,5,1,,1,,
34215,Pouzols,Appartement,5,1,,,,
34281,Saint-Pargoire,Appartement,5,1,,,,
34047,Campagnan,Appartement,5,1,,4,,
34254,Saint-Félix-de-Lodez,Appartement,5,1,,2,,
34343,Viols-le-Fort,Appartement,5,2,,,,
34036,Le Bosc,Appartement,5,1,,,,
34082,Combaillaux,Appartement,5,1,,4,,
34289,Saint-Thibéry,Appartement,5,1,,2,,
34342,Viols-en-Laval,Appartement,5,4,,,,
34144,Lunas,Appartement,4,,,1,,
34243,Saint-Bauzille-de-Putois,Appartement,4,,,3,,
34325,Valros,Appartement,4,,,1,,
34074,Cessenon-sur-Orb,Appartement,4,2,,,,
34214,Pouzolles,Appartement,4,1,,1,,
34173,Montpeyroux,Appartement,4,3,,1,,
34041,Brignac,Appartement,4,1,,1,,
34117,Graissessac,Appartement,4,1,,1,,
34274,Saint-Martin-de-Londres,Appartement,4,1,,,,
34284,Saint-Pons-de-Thomières,Appartement,4,1,,1,,
34038,Le Bousquet-d'Orb,Appartement,4,1,,,,
34001,Abeilhan,Appartement,4,1,,2,,
34261,Saint-Guilhem-le-Désert,Appartement,4,1,,,,
34245,Saint-Chinian,Appartement,4,,,,,
34204,Plaissan,Appartement,4,1,,,,
34320,Vailhauquès,Appartement,3,1,,1,,
34078,Claret,Appartement,3,,,,,
34211,Le Poujol-sur-Orb,Appartement,3,1,,,,
34089,Creissan,Appartement,3,,,2,,
34016,Aumelas,Appartement,3,1,,,,
34140,Lignan-sur-Orb,Appartement,3,1,,,,
34267,Saint-Jean-de-Fos,Appartement,3,,,,,
34252,Saint-Étienne-Estréchoux,Appartement,3,1,,1,,
34136,Lézignan-la-Cèbe,Appartement,3,1,,,,
34328,Vendémian,Appartement,3,1,,1,,
34155,Maureilhan,Appartement,3,1,,1,,
34290,Saint-Vincent-de-Barbeyrargues,Appartement,3,1,,,,
34206,Poilhes,Appartement,3,1,,,,
34203,Pinet,Appartement,3,,,2,,
34027,Beaulieu,Appartement,3,,,,,
34314,Le Triadou,Appartement,3,1,,1,,
34232,Roquebrun,Appartement,2,,,2,,
34308,Taussac-la-Billière,Appartement,2,,,,,
34130,Laurens,Appartement,2,1,,,,
34043,Buzignargues,Appartement,2,1,,,,
34286,Saint-Privat,Appartement,2,,,,,
34293,La Salvetat-sur-Agout,Appartement,2,,,1,,
34064,Le Caylar,Appartement,2,1,,1,,
34223,Puimisson,Appartement,2,1,,,,
34260,Saint-Gervais-sur-Mare,Appartement,2,,,,,
34084,Corneilhan,Appartement,2,,,,,
34002,Adissan,Appartement,2,1,,,,
34042,Brissac,Appartement,2,,,,,
34019,Avène,Appartement,2,2,,,,
34297,Sauteyrargues,Appartement,2,1,,,,
34236,Rouet,Appartement,2,1,,,,
34241,Saint-Bauzille-de-la-Sylve,Appartement,2,,,,,
34149,Margon,Appartement,2,,,1,,
34285,Saint-Pons-de-Mauchiens,Appartement,2,1,,,,
34263,Saint-Hilaire-de-Beauvoir,Appartement,2,,,1,,
34268,Saint-Jean-de-la-Blaquière,Appartement,2,1,,,,
34304,Soubès,Appartement,2,,,,,
34257,Saint-Geniès-de-Varensal,Appartement,1,,,,,
34110,Galargues,Appartement,1,,,,,
34226,Quarante,Appartement,1,,,,,
34177,Murles,Appartement,1,,,,,
34318,Vacquières,Appartement,1,,,1,,
34181,Neffiès,Appartement,1,,,,,
34251,Saint-Étienne-de-Gourgas,Appartement,1,,,,,
34049,Camplong,Appartement,1,1,,,,
34045,Cabrières,Appartement,1,,,1,,
34070,Cébazan,Appartement,1,,,,,
34068,Cazouls-d'Hérault,Appartement,1,1,,,,
34186,Octon,Appartement,1,1,,,,
34334,Vieussan,Appartement,1,,,1,,
34185,Notre-Dame-de-Londres,Appartement,1,,,,,
34133,Lavalette,Appartement,1,,,,,
34044,Cabrerolles,Appartement,1,,,,,
34317,La Vacquerie-et-Saint-Martin-de-Castries,Appartement,1,,,,,
34164,Montaud,Appartement,1,1,,,,
34096,Faugères,Appartement,1,,,1,,
34279,Saint-Nazaire-de-Ladarez,Appartement,1,,,,,
34122,Jonquières,Appartement,1,1,,,,
